"Programmname title";"Beschreibung description";"Schlüsselwörter keywords";"Vorschaubild thumbnail";"URL";"Breite";"Höhe"
"Ablauf der Replikation";"Vereinfachte Darstellung der Vorgänge im Verlauf der DNA-Replikation";"Replikation, Molekulargenetik, Zellteilung, DNA";"Ablauf_der_Replikation.png";"https://biologie-lernprogramme.de/daten/programme/js/replikation_von_a_bis_z/index.html";740;700
"Einteilung der Lebewesen in ein natürliches System";"Anschauliche Einordnung der Arten in ein hierarchiches System";"Systematik, natürliches System, Kladistik, Abstammungslehre, Stammbaum, Evolution";"Einteilung_der_Lebewesen_in_ein_natuerliches_System.png";"https://biologie-lernprogramme.de/daten/programme/js/systematiker/index.html";1240;1000
"Eukaryotische Zelle";"Veranschaulicht den Bau der Zelle auf elektronenmikroskopischer Ebene";"Eukaryot, Tier, Pflanze, Organell, Zellorganell, Zellmembran, Vesikel, Golgi-Apparat, Dictyosom, Endoplasmatisches Reticulum, Kernhülle, Chromosomen, Ribosom, Zellskelett, Cytoskelett, Centriol, Spindelapparat, Motorproteine, Vakuole, Mitochondrien, Chloroplasten, Zellwand";"Eukaryotische_Zelle.png";"https://biologie-lernprogramme.de/daten/programme/js/zeller-online/index.html";780;560
"Fortpflanzungsstrategien";"Zeigt den Zusammenhang zwischen dem Populationswachstum in Abhängigkeit von der gewählten Fortpflanzungsstrategie";"Evolution, K-Stratege, R-Stratege, Populationswachstum";"Fortpflanzungsstrategien.png";"https://biologie-lernprogramme.de/daten/programme/js/fortpflanzungsstrateger/index.html";820;750
"Mendelsche Regeln";"Veranschaulicht die Mendelschen Regeln";"Mendelsche Regeln, Mendel, Uniformitätsregel, Spaltungsregel, Rekombinationsregel, Regel von der freien Kombinierbarkeit der Merkmale, dominant-rezessiv, intermediär, kodominant ";"Mendelsche_Regeln.png";"https://biologie-lernprogramme.de/daten/programme/js/mendler-online/index.html";770;500
"Modell zu den Mendelschen Regeln";"Einfaches Modell zu den Mendelschen Regeln mit insgesamt bis zu vier betrachteten Merkmalen";"Erbgang, Mendel, autosomal, gonosomal, monohybrid, dihybrid, Genkopplung, Entkopplung, Crossing Over, Uniformitätsregel, Spaltungsregel, Rekombinationsregel ";"Modell_zu_den_Mendelschen_Regeln.png";"https://biologie-lernprogramme.de/daten/programme/js/lamassu-genetik/index.html";640;480
"Modell zum Kampf ums Überleben";"Simulation zum Struggle-for-life mit Gras, Kaninchen und Füchsen als Kartenlegespiel";"Lotka-Volterra-Regeln, Räuber-Beute-Beziehung, Parasit-Wirt-Benziehung, Modell, dichteabhängiger Umweltfaktor, Populationsdichte, intraspezifische Nahrungskonkurrenz, innerartlich, zwischenartlich, Generalist, Spezialist, Wachstumsrate ";"Modell_zum_Kampf_ums_Ueberleben.png";"https://biologie-lernprogramme.de/daten/programme/js/struggle/index.html";800;1000
"Reverse Translation";"Zeigt die Degeneration des Genetischen Codes";"Reverse Translation, genetischer Code, Degeneration, RNA-Viren, Retroviren ";"Reverse_Translation.png";"https://biologie-lernprogramme.de/daten/programme/js/reverse_translator/index.html";720;280
"Stammbaumanalyse";"Hilfsmittel für die Analyse einfacher Stammbäume";"Stammbaunanalyse, Genetik, Humangenetik, Erbkrankheiten, monogene, monohybrid, dihybrid, dominanz, rezessiv";"Stammbaumanalyse.png";"https://biologie-lernprogramme.de/daten/programme/js/stammbaeumer-online/index.html";720;500
"Stoffwechselvorgänge";"Veranschaulicht verschiedene assimilatorische und dissimilatorische Stoffwechselvorgänge";"Stoffwechsel, Physiologie, Assimilation, Dissimilation, Fotosynthese, Zellatmung ";"Stoffwechselvorgaenge.png";"https://biologie-lernprogramme.de/daten/programme/js/stoffwechsler-online/index.html";780;480
"Translation";"Veranschaulicht den Genetischen Code";"Transkription, Translation, mRNA, genetischer Code, RNA-Sonne, Start-Codon, Stopp-Codon, Nukleotidsequenz, Aminosäuresequenz, Primärstruktur";"Translation.png";"https://biologie-lernprogramme.de/daten/programme/js/translator_online/";640;480
"Übung zur Transkription";"Anhand einer zufällig erzeugten Sequenz eines codogenen DNA-Strangs kann zur Übung die dazu passende mNRA ergänzt werden";"Transkription, komplementäre Basenpaare, Nukleobasen, Adenin, Thymin, Guanin, Cytosin, Uracil, DNA, mRNA, RNA, Proteinbiosynthese ";"Uebung_zur_Transkription.png";"https://biologie-lernprogramme.de/daten/programme/js/transkribierer/index.html";800;280
"Vererbung der Blutgruppen";"Veranschaulicht die Vererbung der Blutgruppeneigenschaften am Beispiel des AB0-Systems";"Blutgruppen, ABO-System, Blutspende, Antigen-Antikörper-Reaktion ";"Vererbung_der_Blutgruppen.png";"https://biologie-lernprogramme.de/daten/programme/js/blutgrupper-online/index.html";560;560
"Vorgänge an Nervenzellen und Synapsen";"Veranschaulicht die Erregungsleitung am Axon sowie die Erregungsübertragung an der Synapse";"Neuro-muskuläre Synapse, Erregungsleitung, Erregungsübertragung, Aktionspotenzial, Ruhepotenzial, Neurotransmitter, Acetylcholin, Acetylcholinesterase, Synapsengifte, Nervengifte, Curare, Muscarin, Botox, Botulinustoxin ";"Vorgaenge_an_Nervenzellen_und_Synapsen.png";"https://biologie-lernprogramme.de/daten/programme/js/nerver-online/index.html";840;620
